Date,Season #,Path order,Season Year,City,State,Latitude,Longitude,Venue Name,Concert Type,Repertoire,Assisting Artists,Institutional Affiliation and Notes
9/25/1852,1,1,1852-53,New York,NY,40.696464,-73.425169,Private Reception,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
9/30/1852,1,2,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Viotti, Violin Concerto No. 24 in B Minor; Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/6/1852,1,3,1852-53,Boston,MA,42.358562,-71.05833,Chickerings Pianoforte Warerooms,Private concert,"Artot, Souvenirs de Bellini, Op. 4","according to Schiller, given for forty invited guests",
10/8/1852,1,4,1852-53,Boston,MA,42.358562,-71.05833,Masonic Temple,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/12/1852,1,5,1852-53,Boston,MA,42.358562,-71.05833,Masonic Temple,Variety,,"Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
10/15/1852,1,6,1852-53,Boston,MA,42.355552,-71.062792,Masonic Temple,Variety,"Viotti, Violin Concerto No. 24 in B Minor; De Beriot, Air Varie","Mr. Feitlinger, Madame Oscar Comettant (both singers), Mr. Ocscar Comettant (pianist)  Grand Orchestra  led by Theodore Eisfeldt",
11/8/1852,1,7,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,,"Oscar Comettant, Mr. Feitlinger, Madame Oscar Comettant, Salvator Urso, ",Benefit concert for the gilrs of the Roman Catholic Orphan Asylum
11/9/1852,1,8,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Artot, Souvenirs de Bellini, Op. 4; De Beriot, Sixth Air Varie, Op. 12","Marietta Alboni, Signor Rovere, Signor Sangiovanni, Signor Arditi",
11/12/1852,1,9,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"De Beriot, Fifth Air Varie Op. 7; Artot, Fantasie and Variations on La Sonnambula","Marietta Alboni, Signor Rovere, Signor Sangiovanni, Signor Arditi",
11/23/1852,1,10,1852-53,New York,NY,40.696464,-73.425169,Metropolitan Hall,Variety,"Artot, Fantasie and Variations on La Sonnambula","Alfred Toulmin, Harp; Mr. A. Sedgewick, Concertina; Mr. Barton, Bass concertina; Boscha's Grand Orchestra; Wallace's Brass Band; singers: Anna Bishop, Rosa Jacques, Augustus Braham, Mr. Guidi, Mr. Leach",From Brooklyn Daily Eagle:  St. Georges Concert. The Annual Concert in Aid of the Charitable Funds of the St. George's and British Protective Emigrant Society of New York... 
